mu = (l * alpha) / n,,,,,,
1000,100,0.005,521,5.147301189098933,16,10
1000,100,0.005,479,5.552898778499037,23,13
1000,100,0.005,526,7.154165090845349,25,13
1000,100,0.005,539,4.824555533123509,14,8
1000,100,0.005,460,3.806930968529549,14,8
1000,100,0.005,531,5.384976821250467,16,11
1000,100,0.005,512,7.197419837440663,19,9
1000,100,0.005,485,5.067983096147299,16,8
1000,100,0.005,527,3.223481094852317,15,12
1000,100,0.005,486,4.931586406108013,20,12
1000,100,0.005,499,4.776222188710622,17,9
1000,100,0.005,527,5.838411537181839,20,12
1000,100,0.005,479,4.486240858849064,24,12
1000,100,0.005,512,5.268912603686144,23,12
1000,100,0.005,493,4.034535431775527,17,11
1000,100,0.005,523,6.010279245145734,13,9
1000,100,0.005,513,6.535043357094745,20,10
1000,100,0.005,502,3.8088332259018283,16,11
1000,100,0.005,521,5.147301189098933,16,10
1000,100,0.005,476,3.6543448697052536,13,8
1000,100,0.005,479,5.552898778499037,23,13
1000,100,0.005,526,7.154165090845349,25,13
1000,100,0.005,497,4.721371294,21,12
1000,100,0.005,516,4.449159942276571,22,10
1000,100,0.005,465,5.498806176943443,23,13
1000,100,0.005,460,3.806930968529549,14,8
1000,100,0.005,495,5.070055114015636,23,14
1000,100,0.005,512,7.197419837440663,19,9
1000,100,0.005,491,4.4263232584387815,21,15
1000,100,0.005,496,5.111387000097553,16,8
1000,100,0.005,527,5.838411537181839,20,12
1000,100,0.005,473,6.260614511933116,19,8
1000,100,0.005,539,4.824555533123509,14,8
1000,100,0.005,460,3.806930968529549,14,8
1000,100,0.005,495,5.070055114015636,23,14
1000,100,0.005,548,3.0759405747823485,14,8
1000,100,0.005,501,4.894290079279436,19,13
1000,100,0.005,458,4.981638858651932,16,12
1000,100,0.005,490,6.195590971146228,23,14
1000,100,0.005,496,5.5866814398127245,20,12
1000,100,0.005,527,3.223481094852317,15,12
1000,100,0.005,534,4.824222765207001,17,10
1000,100,0.005,499,4.776222188710622,17,9
1000,100,0.005,460,3.806930968529549,14,8
1000,100,0.005,531,5.384976821250467,16,11
1000,100,0.005,495,5.070055114015636,23,14
1000,100,0.005,512,7.197419837440663,19,9
1000,100,0.005,542,4.992976496,15,8
1000,100,0.005,481,6.746931178778209,24,16
1000,100,0.005,490,7.067158863,16,8
1000,100,0.005,494,4.221766990604077,15,10
1000,100,0.005,501,4.894290079279436,19,13
1000,100,0.005,500,6.546520724059235,20,10
1000,100,0.005,477,7.1095445898725504,25,14
1000,100,0.005,491,7.008741791221946,19,9
1000,100,0.005,503,5.250648038040039,20,13
1000,100,0.005,476,6.789154387832454,27,13
1000,100,0.005,492,4.818866627405009,25,14
1000,100,0.005,522,5.042700762253564,21,13
1000,100,0.005,527,3.223481094852317,15,12
1000,100,0.005,486,4.931586406108013,20,12
1000,100,0.005,475,6.568589045468045,20,11
1000,100,0.005,497,4.861228198396531,19,9
1000,100,0.005,534,4.824222765207001,17,10
1000,100,0.005,496,5.111387000097553,16,8
1000,100,0.005,527,5.838411537181839,20,12
1000,100,0.005,523,6.010279245145734,13,9
1000,100,0.005,507,5.587978100243169,17,8
1000,100,0.005,502,3.8088332259018283,16,11
1000,100,0.005,476,3.6543448697052536,13,8
1000,100,0.005,484,6.158661813083075,26,17
1000,100,0.005,512,7.197419837440663,19,9
1000,100,0.005,542,4.992976496,15,8
1000,100,0.005,490,7.067158863,16,8
1000,100,0.005,485,5.067983096147299,16,8
1000,100,0.005,492,4.818866627405009,25,14
1000,100,0.005,496,5.5866814398127245,20,12
1000,100,0.005,486,4.931586406108013,20,12
1000,100,0.005,507,6.0916327707676174,19,11
1000,100,0.005,510,3.7704391881637163,20,13
1000,100,0.005,534,4.824222765207001,17,10
1000,100,0.005,539,4.824555533123509,14,8
1000,100,0.005,460,3.806930968529549,14,8
1000,100,0.005,538,5.524246422745424,23,11
1000,100,0.005,490,7.067158863,16,8
1000,100,0.005,548,3.0759405747823485,14,8
1000,100,0.005,501,4.894290079279436,19,13
1000,100,0.005,527,4.496845176582827,18,11
1000,100,0.005,458,4.981638858651932,16,12
1000,100,0.005,500,6.546520724059235,20,10
1000,100,0.005,490,6.195590971146228,23,14
1000,100,0.005,491,7.008741791221946,19,9
1000,100,0.005,507,6.0916327707676174,19,11
1000,100,0.005,510,3.7704391881637163,20,13
1000,100,0.005,534,4.824222765207001,17,10
1000,100,0.005,496,5.111387000097553,16,8
1000,100,0.005,479,4.486240858849064,24,12
1000,100,0.005,512,5.268912603686144,23,12
1000,100,0.005,523,6.010279245145734,13,9
mu = (l**2 * alpha) / n,,,,,,
1000,100,0.005,538,50.47392686951632,39,7
1000,100,0.005,507,78.59037156431208,45,8
1000,100,0.005,542,55.16231223832096,36,7
1000,100,0.005,506,71.81035393218578,52,8
1000,100.0,0.005,503,62.76428644809158,40,6
1000,100.0,0.005,527,76.38153052999117,55,9
1000,100.0,0.005,534,56.60309807651868,40,6
1000,100.0,0.005,527,68.70384006719961,43,8
1000,100.0,0.005,507,62.42982659786156,50,8
1000,100.0,0.005,526,66.73049205907135,55,6
1000,100.0,0.005,516,63.120415462176645,33,8
1000,100.0,0.005,501,35.08543324530201,23,6
1000,100.0,0.005,490,62.06541361068017,41,7
1000,100.0,0.005,527,76.38153052999117,55,9
1000,100.0,0.005,499,54.05548156470004,30,7
1000,100.0,0.005,512,76.14151387738717,61,9
1000,100.0,0.005,507,62.42982659786156,50,8
1000,100.0,0.005,526,66.73049205907135,55,6
1000,100.0,0.005,516,63.120415462176645,33,8
1000,100.0,0.005,506,71.81035393218578,52,8
1000,100.0,0.005,494,78.0122578845876,46,7
1000,100.0,0.005,527,64.34564194933058,35,8
1000,100.0,0.005,477,66.65424786931649,57,8
1000,100.0,0.005,491,46.17685486873676,32,7
1000,100.0,0.005,527,76.38153052999117,55,9
1000,100.0,0.005,475,69.38939676274114,42,7
1000,100.0,0.005,516,60.43283067519011,49,11
1000,100.0,0.005,527,68.70384006719961,43,8
1000,100.0,0.005,523,60.20626607573495,53,9
1000,100.0,0.005,481,63.993344645279315,69,6
1000,100.0,0.005,458,49.7023501000281,51,9
1000,100.0,0.005,496,77.72854864227979,74,6
1000,100.0,0.005,496,63.711250180835606,54,8
1000,100.0,0.005,473,56.0660200091579,46,8
1000,100.0,0.005,527,64.34564194933058,35,8
1000,100.0,0.005,458,49.7023501000281,51,9
1000,100.0,0.005,490,62.06541361068017,41,7
1000,100.0,0.005,485,57.68065989285216,49,8
1000,100.0,0.005,492,76.16638875986104,55,8
1000,100.0,0.005,507,53.18921163510714,54,6
1000,100.0,0.005,527,68.70384006719961,43,8
1000,100.0,0.005,512,76.14151387738717,61,9
1000,100.0,0.005,507,62.42982659786156,50,8
1000,100.0,0.005,521,52.39421643699912,50,8
1000,100.0,0.005,499,68.38653368856727,40,8
1000,100.0,0.005,516,63.120415462176645,33,8
1000,100.0,0.005,504,58.56453043889336,45,8
1000,100.0,0.005,512,83.69337697410417,78,9
1000,100.0,0.005,548,58.2485966767898,33,11
1000,100.0,0.005,485,57.68065989285216,49,8
1000,100.0,0.005,466,77.91868507318073,57,7
1000,100.0,0.005,498,63.73692339724108,59,7
1000,100.0,0.005,512,83.69337697410417,78,9
1000,100.0,0.005,542,55.16231223832096,36,7
1000,100.0,0.005,458,49.7023501000281,51,9
1000,100.0,0.005,522,52.26690756988495,61,6
1000,100.0,0.005,512,76.14151387738717,61,9
1000,100.0,0.005,523,60.20626607573495,53,9
1000,100.0,0.005,466,77.91868507318073,57,7
1000,100.0,0.005,476,50.00616054194656,35,8
1000,100.0,0.005,499,68.38653368856727,40,8
1000,100.0,0.005,465,70.14941621354892,52,7
1000,100.0,0.005,542,55.16231223832096,36,7
1000,100.0,0.005,500,68.13425684541629,47,7
1000,100.0,0.005,527,68.70384006719961,43,8
1000,100.0,0.005,507,62.42982659786156,50,8
1000,100.0,0.005,502,74.66430660664479,54,9
1000,100.0,0.005,479,59.22392744143303,44,6
1000,100.0,0.005,497,74.90253784770603,42,8
1000,100.0,0.005,465,70.14941621354892,52,7
1000,100.0,0.005,539,51.1617553184961,48,7
1000,100.0,0.005,531,47.37020964847028,38,6
1000,100.0,0.005,538,50.47392686951632,39,7
1000,100.0,0.005,542,55.16231223832096,36,7
1000,100.0,0.005,494,78.0122578845876,46,7
1000,100.0,0.005,500,68.13425684541629,47,7
1000,100.0,0.005,492,76.16638875986104,55,8
1000,100.0,0.005,534,56.60309807651868,40,6
1000,100.0,0.005,496,63.711250180835606,54,8
1000,100.0,0.005,473,56.0660200091579,46,8
1000,100.0,0.005,493,59.47620592030932,53,9
1000,100.0,0.005,513,55.10490450821912,48,7
1000,100.0,0.005,526,66.73049205907135,55,6
1000,100.0,0.005,497,74.90253784770603,42,8
1000,100.0,0.005,516,63.120415462176645,33,8
1000,100.0,0.005,495,55.12497609052354,30,7
1000,100.0,0.005,491,69.66771475725628,52,9
1000,100.0,0.005,490,56.9706216198432,52,9
1000,100.0,0.005,485,57.68065989285216,49,8
1000,100.0,0.005,522,52.26690756988495,61,6
1000,100.0,0.005,486,56.403211780659475,48,10
1000,100.0,0.005,507,53.18921163510714,54,6
1000,100.0,0.005,510,51.043304498945425,46,12
1000,100.0,0.005,527,68.70384006719961,43,8
1000,100.0,0.005,512,76.14151387738717,61,9
1000,100.0,0.005,466,77.91868507318073,57,7
1000,100.0,0.005,465,70.14941621354892,52,7
1000,100.0,0.005,495,38.60848621063536,29,6
1000,100.0,0.005,495,55.12497609052354,30,7
1000,100.0,0.005,491,69.66771475725628,52,9
